# nb_stops nb_waiting_laps nb_vehicules nb_operations capacity 
40 0 60 60 5
#origin destination load 
23 35 1
32 35 1
6 20 1
10 32 1
13 21 1
1 7 1
0 4 1
34 37 1
15 26 1
5 34 1
23 37 1
2 15 1
22 24 1
15 36 1
7 36 1
17 23 1
5 22 1
2 16 1
11 18 1
24 26 1
19 23 1
23 32 1
16 29 1
2 9 1
3 36 1
0 19 1
0 15 1
14 24 1
21 29 1
20 25 1
28 37 1
0 2 1
2 16 1
4 6 1
22 26 1
9 30 1
1 14 1
17 32 1
1 4 1
12 32 1
4 36 1
4 36 1
18 19 1
0 12 1
32 39 1
17 27 1
17 22 1
16 21 1
25 26 1
12 14 1
37 39 1
22 32 1
6 11 1
2 7 1
0 6 1
0 36 1
4 10 1
25 29 1
22 37 1
13 21 1
