# nb_stops nb_waiting_laps nb_vehicules nb_operations capacity 
36 0 55 55 8
#origin destination load 
4 6 1
7 9 1
21 25 1
4 8 1
0 34 1
2 17 1
3 11 1
25 34 1
7 16 1
12 33 1
3 33 1
5 26 1
27 30 1
12 14 1
25 32 1
3 20 1
9 10 1
26 34 1
11 30 1
9 22 1
11 24 1
6 30 1
15 32 1
28 31 1
5 19 1
22 23 1
3 14 1
8 10 1
20 24 1
21 24 1
24 25 1
15 34 1
12 14 1
24 26 1
0 34 1
3 35 1
6 29 1
2 18 1
1 30 1
7 17 1
4 10 1
11 28 1
0 1 1
25 28 1
18 21 1
25 30 1
9 32 1
3 25 1
7 16 1
3 16 1
7 22 1
2 16 1
1 21 1
15 18 1
2 26 1
