# nb_stops nb_waiting_laps nb_vehicules nb_operations capacity 
36 0 55 55 2
#origin destination load 
21 29 1
12 28 1
7 28 1
17 31 1
17 33 1
6 30 1
8 12 1
6 11 1
11 34 1
1 19 1
10 31 1
24 31 1
17 18 1
4 9 1
0 5 1
14 27 1
6 29 1
1 19 1
13 14 1
11 34 1
5 11 1
20 21 1
8 33 1
8 11 1
6 12 1
8 17 1
3 32 1
13 21 1
2 29 1
5 34 1
18 19 1
5 11 1
25 26 1
3 29 1
7 19 1
30 31 1
12 32 1
10 31 1
4 22 1
26 34 1
6 34 1
1 7 1
0 18 1
2 27 1
8 19 1
1 26 1
7 11 1
29 33 1
0 2 1
0 17 1
9 11 1
11 22 1
6 23 1
12 27 1
8 26 1
