# nb_stops nb_waiting_laps nb_vehicules nb_operations capacity 
36 0 55 55 5
#origin destination load 
30 35 1
13 35 1
17 28 1
4 35 1
1 29 1
19 21 1
12 19 1
13 21 1
22 29 1
0 15 1
3 4 1
12 27 1
4 33 1
24 30 1
0 3 1
25 30 1
2 4 1
24 35 1
3 32 1
19 26 1
20 25 1
19 32 1
10 25 1
12 32 1
25 27 1
16 29 1
28 34 1
13 31 1
7 17 1
20 31 1
6 12 1
2 16 1
1 10 1
13 29 1
0 19 1
20 33 1
9 24 1
19 34 1
31 34 1
4 31 1
11 23 1
1 13 1
20 26 1
1 33 1
8 33 1
21 26 1
23 30 1
4 6 1
4 35 1
4 33 1
10 34 1
4 22 1
19 23 1
21 34 1
32 34 1
