# nb_stops nb_waiting_laps nb_vehicules nb_operations capacity 
20 0 60 60 5
#origin destination load 
14 18 1
14 19 1
13 19 1
4 18 1
5 17 1
6 14 1
11 16 1
5 8 1
15 18 1
10 18 1
0 3 1
7 8 1
1 15 1
14 19 1
7 15 1
5 8 1
2 8 1
13 18 1
3 18 1
3 9 1
9 19 1
1 18 1
11 17 1
5 15 1
0 13 1
12 16 1
16 19 1
1 8 1
2 15 1
8 11 1
3 13 1
5 11 1
3 18 1
9 18 1
1 12 1
0 11 1
3 13 1
1 12 1
4 18 1
8 9 1
16 18 1
2 18 1
2 12 1
7 19 1
16 19 1
18 19 1
4 15 1
7 10 1
11 14 1
15 18 1
15 18 1
18 19 1
7 11 1
9 11 1
0 16 1
7 10 1
18 19 1
9 12 1
7 9 1
8 17 1
