# nb_stops nb_waiting_laps nb_vehicules nb_operations capacity 
20 0 60 60 2
#origin destination load 
1 17 1
16 17 1
3 17 1
8 13 1
13 18 1
3 17 1
5 18 1
8 12 1
4 8 1
5 16 1
15 19 1
15 18 1
15 16 1
12 15 1
4 19 1
5 16 1
8 12 1
2 12 1
1 16 1
0 6 1
6 9 1
9 12 1
0 1 1
4 12 1
1 8 1
1 15 1
8 11 1
3 12 1
3 19 1
7 15 1
4 7 1
3 11 1
7 19 1
4 7 1
7 10 1
5 9 1
9 11 1
9 12 1
1 5 1
9 14 1
7 18 1
7 17 1
1 18 1
2 14 1
2 12 1
0 9 1
6 12 1
3 17 1
0 8 1
16 19 1
2 10 1
0 2 1
1 11 1
5 14 1
0 6 1
6 17 1
3 19 1
4 18 1
4 18 1
12 17 1
