# nb_stops nb_waiting_laps nb_vehicules nb_operations capacity 
36 0 55 55 5
#origin destination load 
2 34 1
11 25 1
12 28 1
13 35 1
1 22 1
21 24 1
12 26 1
7 29 1
3 21 1
1 15 1
10 17 1
3 24 1
23 31 1
2 30 1
9 17 1
12 23 1
1 8 1
1 35 1
14 30 1
23 32 1
8 15 1
20 27 1
14 29 1
17 35 1
14 30 1
18 20 1
1 11 1
9 22 1
5 27 1
14 16 1
24 29 1
17 33 1
10 32 1
21 34 1
1 11 1
17 26 1
10 17 1
4 34 1
10 33 1
4 22 1
20 27 1
19 24 1
2 13 1
5 23 1
2 21 1
1 25 1
11 34 1
21 22 1
0 30 1
5 6 1
2 3 1
12 28 1
20 26 1
10 12 1
3 34 1
