# nb_stops nb_waiting_laps nb_vehicules nb_operations capacity 
40 0 60 60 2
#origin destination load 
8 21 1
21 34 1
0 15 1
22 31 1
2 7 1
2 5 1
19 34 1
0 20 1
9 35 1
7 19 1
7 24 1
18 22 1
11 18 1
5 26 1
34 39 1
7 39 1
7 39 1
22 38 1
9 37 1
3 19 1
5 17 1
3 29 1
5 14 1
24 33 1
0 4 1
18 32 1
10 29 1
28 36 1
15 26 1
7 22 1
17 22 1
6 24 1
20 25 1
10 32 1
27 29 1
32 37 1
8 12 1
24 29 1
5 33 1
24 38 1
12 26 1
0 33 1
14 29 1
0 1 1
3 8 1
18 25 1
14 34 1
27 38 1
8 20 1
9 19 1
16 27 1
33 35 1
23 28 1
19 26 1
8 35 1
12 16 1
8 21 1
6 27 1
7 37 1
20 33 1
