# nb_stops nb_waiting_laps nb_vehicules nb_operations capacity 
40 0 60 60 5
#origin destination load 
1 33 1
22 31 1
3 39 1
21 36 1
3 20 1
16 21 1
27 28 1
22 36 1
20 32 1
2 27 1
20 26 1
1 35 1
33 39 1
7 16 1
6 32 1
25 37 1
20 39 1
35 39 1
11 28 1
8 32 1
23 24 1
11 13 1
11 27 1
8 23 1
19 27 1
26 37 1
27 39 1
32 33 1
1 26 1
10 32 1
7 21 1
28 38 1
27 34 1
5 25 1
15 33 1
37 39 1
2 9 1
10 13 1
10 21 1
32 36 1
14 30 1
21 30 1
15 34 1
6 12 1
8 38 1
7 23 1
3 11 1
5 37 1
22 23 1
11 30 1
0 16 1
21 26 1
23 35 1
16 31 1
26 27 1
1 8 1
2 23 1
29 36 1
30 35 1
8 38 1
