# nb_stops nb_waiting_laps nb_vehicules nb_operations capacity 
20 0 60 60 2
#origin destination load 
7 12 1
9 19 1
1 17 1
9 19 1
2 18 1
5 19 1
18 19 1
4 14 1
0 7 1
2 10 1
0 8 1
2 8 1
2 5 1
12 18 1
3 9 1
8 16 1
5 14 1
5 7 1
7 17 1
5 17 1
3 19 1
9 10 1
1 5 1
0 5 1
18 19 1
6 11 1
0 5 1
2 6 1
2 16 1
6 11 1
3 11 1
6 11 1
0 17 1
13 19 1
6 11 1
9 17 1
10 14 1
7 15 1
4 7 1
4 13 1
10 11 1
8 16 1
9 10 1
2 18 1
6 17 1
9 12 1
15 17 1
4 6 1
1 16 1
4 12 1
5 9 1
10 15 1
9 17 1
2 5 1
1 16 1
17 19 1
1 19 1
1 8 1
17 19 1
7 8 1
