# nb_stops nb_waiting_laps nb_vehicules nb_operations capacity 
20 0 60 60 8
#origin destination load 
2 11 1
6 9 1
15 19 1
1 2 1
0 19 1
1 13 1
5 17 1
0 2 1
7 19 1
1 9 1
2 16 1
12 15 1
4 14 1
13 14 1
5 15 1
10 17 1
4 5 1
5 16 1
8 19 1
4 16 1
1 2 1
4 14 1
9 13 1
5 10 1
7 14 1
6 18 1
12 14 1
3 8 1
10 19 1
4 15 1
0 12 1
0 17 1
0 17 1
8 9 1
13 14 1
10 15 1
4 7 1
8 11 1
10 16 1
16 18 1
15 16 1
10 15 1
1 10 1
0 10 1
0 5 1
4 13 1
10 17 1
2 10 1
11 14 1
8 19 1
2 16 1
3 16 1
18 19 1
8 11 1
1 8 1
3 5 1
12 17 1
5 10 1
2 15 1
2 10 1
