# nb_stops nb_waiting_laps nb_vehicules nb_operations capacity 
36 0 55 55 2
#origin destination load 
1 13 1
2 7 1
16 22 1
0 28 1
2 9 1
20 25 1
20 33 1
16 17 1
3 15 1
18 20 1
16 25 1
18 20 1
5 12 1
22 29 1
4 5 1
6 29 1
32 34 1
13 30 1
21 34 1
7 30 1
14 23 1
0 12 1
15 28 1
17 34 1
7 17 1
16 23 1
7 35 1
7 35 1
1 20 1
21 25 1
15 22 1
0 31 1
24 27 1
25 30 1
9 24 1
12 13 1
19 24 1
13 34 1
11 16 1
3 32 1
8 13 1
6 31 1
28 30 1
12 31 1
11 16 1
17 33 1
11 12 1
2 13 1
16 23 1
26 27 1
11 19 1
10 19 1
7 12 1
3 8 1
21 23 1
