# nb_stops nb_waiting_laps nb_vehicules nb_operations capacity 
36 0 55 55 5
#origin destination load 
2 21 1
15 23 1
7 23 1
0 21 1
8 34 1
8 9 1
3 24 1
31 32 1
16 23 1
10 21 1
9 20 1
4 31 1
7 31 1
9 32 1
6 28 1
16 27 1
22 30 1
3 7 1
10 12 1
5 35 1
21 30 1
18 34 1
5 14 1
6 15 1
4 15 1
18 19 1
0 29 1
7 12 1
2 13 1
5 29 1
1 20 1
15 31 1
2 4 1
5 32 1
4 7 1
17 34 1
22 32 1
2 8 1
18 26 1
5 14 1
12 22 1
2 5 1
5 12 1
7 15 1
0 25 1
16 25 1
1 11 1
20 21 1
13 26 1
21 34 1
10 32 1
18 33 1
8 21 1
21 34 1
15 19 1
