# nb_stops nb_waiting_laps nb_vehicules nb_operations capacity 
36 0 55 55 8
#origin destination load 
14 29 1
25 30 1
24 32 1
16 23 1
29 34 1
12 33 1
12 35 1
23 33 1
1 17 1
2 12 1
11 21 1
25 27 1
5 10 1
11 24 1
13 17 1
2 12 1
22 27 1
18 22 1
10 31 1
14 30 1
19 27 1
11 22 1
19 27 1
24 35 1
0 11 1
22 26 1
3 32 1
13 29 1
1 18 1
20 34 1
11 22 1
26 34 1
13 29 1
25 32 1
3 27 1
2 19 1
5 18 1
9 13 1
25 28 1
5 34 1
4 20 1
3 27 1
0 21 1
12 17 1
3 32 1
30 32 1
19 22 1
15 28 1
5 17 1
32 34 1
0 16 1
2 14 1
14 24 1
7 22 1
12 22 1
