# nb_stops nb_waiting_laps nb_vehicules nb_operations capacity 
40 0 60 60 8
#origin destination load 
5 18 1
20 22 1
11 22 1
1 2 1
1 23 1
5 33 1
16 29 1
0 6 1
12 34 1
12 38 1
3 21 1
7 27 1
21 38 1
6 37 1
10 17 1
15 19 1
1 27 1
10 27 1
4 28 1
4 27 1
21 29 1
24 30 1
11 30 1
23 30 1
17 20 1
27 38 1
23 35 1
14 25 1
8 31 1
10 11 1
0 22 1
25 28 1
12 23 1
27 30 1
26 33 1
6 15 1
31 36 1
13 26 1
2 19 1
30 39 1
20 29 1
16 23 1
5 29 1
17 28 1
0 27 1
21 23 1
5 9 1
9 38 1
18 31 1
17 34 1
1 24 1
7 32 1
11 29 1
8 21 1
3 5 1
8 26 1
23 24 1
21 35 1
2 12 1
4 31 1
