# nb_stops nb_waiting_laps nb_vehicules nb_operations capacity 
36 0 55 55 8
#origin destination load 
14 35 1
8 13 1
12 34 1
22 25 1
2 5 1
9 13 1
15 33 1
9 21 1
5 33 1
2 5 1
14 18 1
11 26 1
7 35 1
0 14 1
1 6 1
11 20 1
16 20 1
13 14 1
3 32 1
16 17 1
5 25 1
0 31 1
4 22 1
0 22 1
24 25 1
5 19 1
6 12 1
29 31 1
11 31 1
7 34 1
12 19 1
28 34 1
12 19 1
22 31 1
2 15 1
0 12 1
23 27 1
0 30 1
2 7 1
10 12 1
6 15 1
12 28 1
7 22 1
18 35 1
29 33 1
10 28 1
18 31 1
11 23 1
4 6 1
18 22 1
34 35 1
2 29 1
3 15 1
17 26 1
2 13 1
