# nb_stops nb_waiting_laps nb_vehicules nb_operations capacity 
40 0 60 60 2
#origin destination load 
17 27 1
16 37 1
1 3 1
1 28 1
23 25 1
6 26 1
4 6 1
16 31 1
4 19 1
9 27 1
8 9 1
6 26 1
12 14 1
3 20 1
11 15 1
4 20 1
34 36 1
35 37 1
17 30 1
7 10 1
4 9 1
5 8 1
0 21 1
19 37 1
8 29 1
6 8 1
4 7 1
13 20 1
0 33 1
15 24 1
5 37 1
9 23 1
1 38 1
19 23 1
7 21 1
11 22 1
27 30 1
12 23 1
8 23 1
8 20 1
12 18 1
11 16 1
22 29 1
22 25 1
9 22 1
11 29 1
14 30 1
8 35 1
6 20 1
28 31 1
6 27 1
10 39 1
3 33 1
2 33 1
13 27 1
10 31 1
19 23 1
3 5 1
8 28 1
20 22 1
