# nb_stops nb_waiting_laps nb_vehicules nb_operations capacity 
40 0 60 60 2
#origin destination load 
15 30 1
18 21 1
16 24 1
4 8 1
16 27 1
3 5 1
36 39 1
24 30 1
9 14 1
2 22 1
18 36 1
9 35 1
27 33 1
16 37 1
0 9 1
7 9 1
20 39 1
23 28 1
29 36 1
5 20 1
8 25 1
4 8 1
24 31 1
21 38 1
0 15 1
13 37 1
8 34 1
13 38 1
33 35 1
21 33 1
4 31 1
3 32 1
11 12 1
19 39 1
1 39 1
4 10 1
5 24 1
1 6 1
19 36 1
28 31 1
4 35 1
17 21 1
4 16 1
34 37 1
3 15 1
0 22 1
14 38 1
9 35 1
14 27 1
1 28 1
5 37 1
22 30 1
2 29 1
23 30 1
6 8 1
3 11 1
11 20 1
15 16 1
10 36 1
13 32 1
