# nb_stops nb_waiting_laps nb_vehicules nb_operations capacity 
40 0 60 60 2
#origin destination load 
9 29 1
4 33 1
0 20 1
12 20 1
26 35 1
6 8 1
0 1 1
16 35 1
1 35 1
14 29 1
6 31 1
6 29 1
1 10 1
10 26 1
6 21 1
10 32 1
16 18 1
6 8 1
10 38 1
17 20 1
29 38 1
15 39 1
21 23 1
8 26 1
7 24 1
23 30 1
21 39 1
1 11 1
14 37 1
12 27 1
4 36 1
12 37 1
14 36 1
5 12 1
6 32 1
4 22 1
13 37 1
34 36 1
14 20 1
35 36 1
18 22 1
13 18 1
29 31 1
5 14 1
18 32 1
14 15 1
18 21 1
17 21 1
26 30 1
16 23 1
8 12 1
36 37 1
8 23 1
9 15 1
5 18 1
28 29 1
2 15 1
19 36 1
8 16 1
15 27 1
