# nb_stops nb_waiting_laps nb_vehicules nb_operations capacity 
20 0 60 60 5
#origin destination load 
8 12 1
11 13 1
11 19 1
2 9 1
6 18 1
5 7 1
9 10 1
8 12 1
17 18 1
4 6 1
11 18 1
8 16 1
3 9 1
10 17 1
10 17 1
10 19 1
1 4 1
1 4 1
3 4 1
10 14 1
13 14 1
3 7 1
4 15 1
1 7 1
5 11 1
7 15 1
4 15 1
3 18 1
5 12 1
0 15 1
1 11 1
2 17 1
16 19 1
7 19 1
13 15 1
1 6 1
8 16 1
2 16 1
3 4 1
1 15 1
3 17 1
2 19 1
0 12 1
5 16 1
3 12 1
3 6 1
1 19 1
0 11 1
7 13 1
8 12 1
11 13 1
4 14 1
7 9 1
2 10 1
13 14 1
11 16 1
4 5 1
1 16 1
0 9 1
5 7 1
