# nb_stops nb_waiting_laps nb_vehicules nb_operations capacity 
20 0 60 60 5
#origin destination load 
11 18 1
0 12 1
13 19 1
14 17 1
11 15 1
0 13 1
11 18 1
1 13 1
0 6 1
9 13 1
0 15 1
10 19 1
10 14 1
2 14 1
7 8 1
10 18 1
2 11 1
10 18 1
7 16 1
3 16 1
16 19 1
2 16 1
10 15 1
7 13 1
0 2 1
2 14 1
5 7 1
13 15 1
0 7 1
3 7 1
1 10 1
4 18 1
0 12 1
0 11 1
6 17 1
13 19 1
13 15 1
0 5 1
0 13 1
7 12 1
1 16 1
0 13 1
5 6 1
5 8 1
3 5 1
12 15 1
10 16 1
8 19 1
8 11 1
0 9 1
13 19 1
4 12 1
1 14 1
4 7 1
0 17 1
13 15 1
8 9 1
11 14 1
8 17 1
0 11 1
