# nb_stops nb_waiting_laps nb_vehicules nb_operations capacity 
40 0 60 60 5
#origin destination load 
22 38 1
4 32 1
13 15 1
1 12 1
27 30 1
6 29 1
20 24 1
21 35 1
18 23 1
10 35 1
21 35 1
7 31 1
24 31 1
12 13 1
13 33 1
26 35 1
18 31 1
7 31 1
4 31 1
0 13 1
31 38 1
2 7 1
15 18 1
34 37 1
29 31 1
7 12 1
6 24 1
4 15 1
16 22 1
20 36 1
10 38 1
1 31 1
8 15 1
0 31 1
19 33 1
2 4 1
6 31 1
2 9 1
3 14 1
5 31 1
30 33 1
9 17 1
21 37 1
11 17 1
30 37 1
0 7 1
28 31 1
33 36 1
6 26 1
17 20 1
19 24 1
2 19 1
23 28 1
4 37 1
31 35 1
2 16 1
19 26 1
15 26 1
33 35 1
23 26 1
