# nb_stops nb_waiting_laps nb_vehicules nb_operations capacity 
20 0 60 60 8
#origin destination load 
5 19 1
0 8 1
5 14 1
9 12 1
12 19 1
8 15 1
11 16 1
8 17 1
4 14 1
11 15 1
3 19 1
15 17 1
0 14 1
5 7 1
4 14 1
1 6 1
2 7 1
6 8 1
8 11 1
0 11 1
15 16 1
4 14 1
12 15 1
8 18 1
6 15 1
13 18 1
8 12 1
12 13 1
6 10 1
2 12 1
4 10 1
4 6 1
2 9 1
1 15 1
7 10 1
4 18 1
3 10 1
2 7 1
5 11 1
4 18 1
6 11 1
2 19 1
6 12 1
4 18 1
8 16 1
0 18 1
16 19 1
8 19 1
1 6 1
1 13 1
0 17 1
7 8 1
2 16 1
6 13 1
12 17 1
11 17 1
3 9 1
7 17 1
14 19 1
12 15 1
