# nb_stops nb_waiting_laps nb_vehicules nb_operations capacity 
40 0 60 60 8
#origin destination load 
11 37 1
25 35 1
19 24 1
20 33 1
18 27 1
18 28 1
2 6 1
28 31 1
8 29 1
11 14 1
13 35 1
28 38 1
10 29 1
6 30 1
7 18 1
8 20 1
8 18 1
2 33 1
5 19 1
27 38 1
15 32 1
8 38 1
10 29 1
18 21 1
10 35 1
21 23 1
9 22 1
4 21 1
11 19 1
30 34 1
6 18 1
36 38 1
6 23 1
26 31 1
18 20 1
4 16 1
24 26 1
35 36 1
5 16 1
6 15 1
4 19 1
18 30 1
11 21 1
22 32 1
16 22 1
0 14 1
4 15 1
21 29 1
12 19 1
7 39 1
15 22 1
8 36 1
31 32 1
36 37 1
34 39 1
3 5 1
6 35 1
14 27 1
7 36 1
11 29 1
