# nb_stops nb_waiting_laps nb_vehicules nb_operations capacity 
20 0 60 60 8
#origin destination load 
7 13 1
3 7 1
4 10 1
5 18 1
5 13 1
9 19 1
7 19 1
4 17 1
6 7 1
6 18 1
8 15 1
10 17 1
7 8 1
9 15 1
3 18 1
8 17 1
3 11 1
1 13 1
8 12 1
5 6 1
3 7 1
4 10 1
2 11 1
8 18 1
0 15 1
7 18 1
7 17 1
4 14 1
3 15 1
6 19 1
18 19 1
3 9 1
14 17 1
3 14 1
9 12 1
0 12 1
5 19 1
2 19 1
2 12 1
11 17 1
10 18 1
6 18 1
3 12 1
5 7 1
2 3 1
5 14 1
7 8 1
1 4 1
3 5 1
4 6 1
5 17 1
9 11 1
0 5 1
11 12 1
3 15 1
1 5 1
4 5 1
2 12 1
6 19 1
5 9 1
