# nb_stops nb_waiting_laps nb_vehicules nb_operations capacity 
13 0 60 60 5
#origin destination load 
6 7 1
5 12 1
5 9 1
6 10 1
4 12 1
1 11 1
1 4 1
3 10 1
0 1 1
6 8 1
0 11 1
2 7 1
2 5 1
2 3 1
3 11 1
11 12 1
3 10 1
8 10 1
5 8 1
9 12 1
8 10 1
0 12 1
3 9 1
1 12 1
0 11 1
1 5 1
5 9 1
9 10 1
7 9 1
0 7 1
7 12 1
2 12 1
11 12 1
1 10 1
9 11 1
1 4 1
4 8 1
8 12 1
2 4 1
1 12 1
10 12 1
7 10 1
6 9 1
6 11 1
0 10 1
2 4 1
0 11 1
5 8 1
6 12 1
8 12 1
6 9 1
3 11 1
1 10 1
2 4 1
11 12 1
6 8 1
2 9 1
1 2 1
0 4 1
4 12 1
