# nb_stops nb_waiting_laps nb_vehicules nb_operations capacity 
40 0 60 60 2
#origin destination load 
13 35 1
0 29 1
2 25 1
2 25 1
4 21 1
12 15 1
1 16 1
27 28 1
25 27 1
14 21 1
6 20 1
5 24 1
22 34 1
0 24 1
10 17 1
12 17 1
17 23 1
9 33 1
11 19 1
3 32 1
7 15 1
8 23 1
12 26 1
3 35 1
10 25 1
5 9 1
6 26 1
20 28 1
20 31 1
29 33 1
1 37 1
6 8 1
9 27 1
17 38 1
10 12 1
5 28 1
9 29 1
28 36 1
1 24 1
18 31 1
1 26 1
12 23 1
3 39 1
22 24 1
13 24 1
13 15 1
6 24 1
12 33 1
21 33 1
6 23 1
23 29 1
26 33 1
14 18 1
11 21 1
4 38 1
24 29 1
5 12 1
28 37 1
4 8 1
19 24 1
