# nb_stops nb_waiting_laps nb_vehicules nb_operations capacity 
20 0 60 60 5
#origin destination load 
5 6 1
8 11 1
0 4 1
16 17 1
4 16 1
2 12 1
2 13 1
2 11 1
1 14 1
2 6 1
14 18 1
11 16 1
7 19 1
5 15 1
0 18 1
4 15 1
0 7 1
1 19 1
3 16 1
17 19 1
1 10 1
2 3 1
12 16 1
7 16 1
2 11 1
5 13 1
5 12 1
4 13 1
9 12 1
1 2 1
1 5 1
1 17 1
13 16 1
2 16 1
4 11 1
14 16 1
10 12 1
10 17 1
6 18 1
1 4 1
1 17 1
5 7 1
12 14 1
1 18 1
3 13 1
0 14 1
8 9 1
1 8 1
2 17 1
10 13 1
14 18 1
0 18 1
8 10 1
15 18 1
8 11 1
0 1 1
1 19 1
7 11 1
0 6 1
3 5 1
