# nb_stops nb_waiting_laps nb_vehicules nb_operations capacity 
20 0 60 60 2
#origin destination load 
5 18 1
11 19 1
12 19 1
2 13 1
14 19 1
11 12 1
10 16 1
7 13 1
7 18 1
4 14 1
6 8 1
9 18 1
0 4 1
15 17 1
3 11 1
14 19 1
10 16 1
5 7 1
2 19 1
0 8 1
4 19 1
0 1 1
0 5 1
0 18 1
4 13 1
5 13 1
3 10 1
2 3 1
12 19 1
15 18 1
3 17 1
9 12 1
6 7 1
2 19 1
12 18 1
2 17 1
14 16 1
17 18 1
0 19 1
7 13 1
12 15 1
6 18 1
1 7 1
0 19 1
10 13 1
9 14 1
7 15 1
1 7 1
12 13 1
1 11 1
3 16 1
5 8 1
18 19 1
14 18 1
1 10 1
3 5 1
6 9 1
5 15 1
11 16 1
4 6 1
