# nb_stops nb_waiting_laps nb_vehicules nb_operations capacity 
36 0 55 55 2
#origin destination load 
6 32 1
13 14 1
6 7 1
2 7 1
18 34 1
16 35 1
10 31 1
8 24 1
13 25 1
11 20 1
2 31 1
4 14 1
13 27 1
1 6 1
30 31 1
2 17 1
6 16 1
13 30 1
17 22 1
1 32 1
15 31 1
17 26 1
5 25 1
14 34 1
5 30 1
5 35 1
19 24 1
17 35 1
6 26 1
21 34 1
0 1 1
3 22 1
13 33 1
15 20 1
1 11 1
6 22 1
13 18 1
8 23 1
7 22 1
13 34 1
3 21 1
1 20 1
3 18 1
9 11 1
12 32 1
25 33 1
11 31 1
25 31 1
6 31 1
16 18 1
22 32 1
20 30 1
28 35 1
7 17 1
0 15 1
