# nb_stops nb_waiting_laps nb_vehicules nb_operations capacity 
36 0 55 55 8
#origin destination load 
22 32 1
8 16 1
14 17 1
23 24 1
9 23 1
5 17 1
17 34 1
7 17 1
22 23 1
24 26 1
3 11 1
12 21 1
28 33 1
10 22 1
5 28 1
0 25 1
7 33 1
2 13 1
1 14 1
1 25 1
10 26 1
4 35 1
6 7 1
21 30 1
25 29 1
12 20 1
1 12 1
9 13 1
0 26 1
18 19 1
0 21 1
23 28 1
16 33 1
27 30 1
17 19 1
23 29 1
9 28 1
17 27 1
12 34 1
7 11 1
11 18 1
19 35 1
3 32 1
8 29 1
7 12 1
28 33 1
15 23 1
0 6 1
0 32 1
28 29 1
0 21 1
17 25 1
8 29 1
6 7 1
1 17 1
