# nb_stops nb_waiting_laps nb_vehicules nb_operations capacity 
20 0 60 60 2
#origin destination load 
0 13 1
9 19 1
12 17 1
9 16 1
0 5 1
9 11 1
1 7 1
5 10 1
3 19 1
1 15 1
2 12 1
11 18 1
14 17 1
1 2 1
5 13 1
11 13 1
0 18 1
4 16 1
12 13 1
5 17 1
6 18 1
8 17 1
0 13 1
3 7 1
4 15 1
4 8 1
9 15 1
0 6 1
9 13 1
0 14 1
11 19 1
0 9 1
3 4 1
8 17 1
15 17 1
5 15 1
12 13 1
13 18 1
8 12 1
7 14 1
3 5 1
0 8 1
14 15 1
0 1 1
7 16 1
10 19 1
1 16 1
12 14 1
2 10 1
5 10 1
7 17 1
11 12 1
10 16 1
2 5 1
1 16 1
2 11 1
2 9 1
6 15 1
7 15 1
11 14 1
