# nb_stops nb_waiting_laps nb_vehicules nb_operations capacity 
20 0 60 60 2
#origin destination load 
15 18 1
12 16 1
2 7 1
9 18 1
11 14 1
9 19 1
8 12 1
3 13 1
1 8 1
5 9 1
15 16 1
5 6 1
1 17 1
1 5 1
4 6 1
14 17 1
1 14 1
2 16 1
9 12 1
5 15 1
3 6 1
12 14 1
8 18 1
15 19 1
0 16 1
1 3 1
9 18 1
6 9 1
3 11 1
3 15 1
1 9 1
1 15 1
4 14 1
3 11 1
8 16 1
0 18 1
5 15 1
4 13 1
5 19 1
5 13 1
6 11 1
0 17 1
4 18 1
15 18 1
1 14 1
3 7 1
4 18 1
0 1 1
2 5 1
9 10 1
9 15 1
12 17 1
3 5 1
4 17 1
3 8 1
6 7 1
0 12 1
2 10 1
9 18 1
4 12 1
