# nb_stops nb_waiting_laps nb_vehicules nb_operations capacity 
20 0 60 60 5
#origin destination load 
7 9 1
0 12 1
0 7 1
3 10 1
1 3 1
0 19 1
8 16 1
2 5 1
1 17 1
2 18 1
10 17 1
3 19 1
15 18 1
6 12 1
10 18 1
1 5 1
2 5 1
2 4 1
8 14 1
3 6 1
4 16 1
2 13 1
6 11 1
0 14 1
1 5 1
5 10 1
8 16 1
12 14 1
4 14 1
4 16 1
10 17 1
3 18 1
1 6 1
1 3 1
16 19 1
4 19 1
3 13 1
1 17 1
12 16 1
2 18 1
9 12 1
5 15 1
7 12 1
12 18 1
3 16 1
0 15 1
5 18 1
5 15 1
18 19 1
15 18 1
10 17 1
5 19 1
9 10 1
1 6 1
0 16 1
4 10 1
3 7 1
2 8 1
7 19 1
5 16 1
