# nb_stops nb_waiting_laps nb_vehicules nb_operations capacity 
40 0 60 60 8
#origin destination load 
19 23 1
24 28 1
18 38 1
15 36 1
24 32 1
12 25 1
8 20 1
15 19 1
23 33 1
24 28 1
3 31 1
4 14 1
18 38 1
10 18 1
20 23 1
33 35 1
2 22 1
11 12 1
12 18 1
0 36 1
2 13 1
10 22 1
25 29 1
10 30 1
6 12 1
36 38 1
1 35 1
10 39 1
13 21 1
1 25 1
4 35 1
20 38 1
9 31 1
11 13 1
9 11 1
3 9 1
16 23 1
1 13 1
12 35 1
11 17 1
2 34 1
13 35 1
15 37 1
10 35 1
27 36 1
0 23 1
7 31 1
24 30 1
2 37 1
5 31 1
34 39 1
14 22 1
15 39 1
27 35 1
4 19 1
13 29 1
9 16 1
10 24 1
11 12 1
0 21 1
