# nb_stops nb_waiting_laps nb_vehicules nb_operations capacity 
40 0 60 60 5
#origin destination load 
24 26 1
12 15 1
0 9 1
1 7 1
21 26 1
24 37 1
3 5 1
0 28 1
4 23 1
6 17 1
19 32 1
18 23 1
1 31 1
24 33 1
11 36 1
20 39 1
14 37 1
25 38 1
14 26 1
5 33 1
29 39 1
30 36 1
22 24 1
17 39 1
19 34 1
6 11 1
14 29 1
5 29 1
14 22 1
10 21 1
20 25 1
15 22 1
7 34 1
0 13 1
19 25 1
24 33 1
0 16 1
21 25 1
30 38 1
9 24 1
22 24 1
20 38 1
1 3 1
25 35 1
8 15 1
1 35 1
18 28 1
14 16 1
17 29 1
3 7 1
0 32 1
1 19 1
8 32 1
18 31 1
22 34 1
0 7 1
13 17 1
20 37 1
14 33 1
30 38 1
