# nb_stops nb_waiting_laps nb_vehicules nb_operations capacity 
40 0 60 60 8
#origin destination load 
9 21 1
10 21 1
20 24 1
19 30 1
12 17 1
7 13 1
10 35 1
19 20 1
16 20 1
0 24 1
15 25 1
33 36 1
20 36 1
13 39 1
15 39 1
16 20 1
1 12 1
26 36 1
21 37 1
26 30 1
1 25 1
3 35 1
15 20 1
1 23 1
15 24 1
17 39 1
14 32 1
24 29 1
24 34 1
1 34 1
14 23 1
18 27 1
7 36 1
20 23 1
1 26 1
11 27 1
6 18 1
30 31 1
6 14 1
30 31 1
9 13 1
5 21 1
6 15 1
9 34 1
21 30 1
5 10 1
20 35 1
32 35 1
7 9 1
15 35 1
0 26 1
18 22 1
5 25 1
8 31 1
11 32 1
21 24 1
2 33 1
8 22 1
8 16 1
9 30 1
