# nb_stops nb_waiting_laps nb_vehicules nb_operations capacity 
36 0 55 55 5
#origin destination load 
5 19 1
18 23 1
21 28 1
2 19 1
20 34 1
0 13 1
5 35 1
9 14 1
10 16 1
0 7 1
1 30 1
11 18 1
0 26 1
19 27 1
11 30 1
16 33 1
4 14 1
22 31 1
5 14 1
4 25 1
5 14 1
17 29 1
11 12 1
3 7 1
2 19 1
19 30 1
12 29 1
30 35 1
13 22 1
4 18 1
32 35 1
1 10 1
12 19 1
24 33 1
2 26 1
20 28 1
7 26 1
30 34 1
18 33 1
6 20 1
0 32 1
4 25 1
13 14 1
6 24 1
0 6 1
26 33 1
8 21 1
4 23 1
0 20 1
27 29 1
2 21 1
11 26 1
21 27 1
9 24 1
10 18 1
