# nb_stops nb_waiting_laps nb_vehicules nb_operations capacity 
20 0 60 60 8
#origin destination load 
5 8 1
1 13 1
2 9 1
6 8 1
13 15 1
13 14 1
5 18 1
3 14 1
17 18 1
5 18 1
0 10 1
10 15 1
4 16 1
15 19 1
8 10 1
0 7 1
6 17 1
8 19 1
6 15 1
7 8 1
1 12 1
11 14 1
8 10 1
8 15 1
13 17 1
5 19 1
5 7 1
2 14 1
11 13 1
2 17 1
10 13 1
1 2 1
10 16 1
11 13 1
0 16 1
10 11 1
1 5 1
5 15 1
15 16 1
2 14 1
12 13 1
1 19 1
10 12 1
4 11 1
13 17 1
0 6 1
8 9 1
12 13 1
4 6 1
6 15 1
3 12 1
8 10 1
16 17 1
11 17 1
9 10 1
10 16 1
0 15 1
3 10 1
6 19 1
7 16 1
