# nb_stops nb_waiting_laps nb_vehicules nb_operations capacity 
36 0 55 55 2
#origin destination load 
10 23 1
27 34 1
24 32 1
3 29 1
17 30 1
26 32 1
9 34 1
16 31 1
30 31 1
7 10 1
8 19 1
0 35 1
13 19 1
8 32 1
12 14 1
2 35 1
9 12 1
12 16 1
5 13 1
10 18 1
16 20 1
27 32 1
0 7 1
8 22 1
17 22 1
32 34 1
1 15 1
9 11 1
3 12 1
6 21 1
0 5 1
19 31 1
15 28 1
8 14 1
6 34 1
12 22 1
8 18 1
14 35 1
15 16 1
13 23 1
18 19 1
11 35 1
2 34 1
8 26 1
6 9 1
27 33 1
26 32 1
22 34 1
10 27 1
28 33 1
4 9 1
7 20 1
13 14 1
6 8 1
10 29 1
