# nb_stops nb_waiting_laps nb_vehicules nb_operations capacity 
36 0 55 55 8
#origin destination load 
4 29 1
14 32 1
1 16 1
15 18 1
28 35 1
9 12 1
0 24 1
7 28 1
11 27 1
10 34 1
8 13 1
23 32 1
23 26 1
21 22 1
4 25 1
13 19 1
21 29 1
0 20 1
0 25 1
1 12 1
12 25 1
5 33 1
4 33 1
19 24 1
7 18 1
12 31 1
5 8 1
11 35 1
10 20 1
15 31 1
24 25 1
26 34 1
14 34 1
10 23 1
2 14 1
4 20 1
10 31 1
15 17 1
7 21 1
14 30 1
19 27 1
4 5 1
4 15 1
16 26 1
4 27 1
5 29 1
16 19 1
0 14 1
10 33 1
1 28 1
5 29 1
12 24 1
9 31 1
18 19 1
10 34 1
