# nb_stops nb_waiting_laps nb_vehicules nb_operations capacity 
40 0 60 60 8
#origin destination load 
13 39 1
23 38 1
4 8 1
20 38 1
11 37 1
4 36 1
18 37 1
11 36 1
25 38 1
23 36 1
4 34 1
3 9 1
19 21 1
19 24 1
0 23 1
22 24 1
0 6 1
10 12 1
8 32 1
1 5 1
5 35 1
24 34 1
5 15 1
21 32 1
35 36 1
1 29 1
24 38 1
10 22 1
3 6 1
33 36 1
8 23 1
2 23 1
4 12 1
5 23 1
5 28 1
2 32 1
17 22 1
9 19 1
2 30 1
14 26 1
3 23 1
19 21 1
1 19 1
15 23 1
0 9 1
11 23 1
5 17 1
21 38 1
1 21 1
26 39 1
1 11 1
1 24 1
3 20 1
3 10 1
5 10 1
13 28 1
1 8 1
1 25 1
0 17 1
1 26 1
