# nb_stops nb_waiting_laps nb_vehicules nb_operations capacity 
36 0 55 55 5
#origin destination load 
27 30 1
14 19 1
4 28 1
7 26 1
9 30 1
22 32 1
4 15 1
20 25 1
25 26 1
16 29 1
8 30 1
7 14 1
22 29 1
3 31 1
13 27 1
5 22 1
4 35 1
5 24 1
28 29 1
17 30 1
3 27 1
3 34 1
28 31 1
0 18 1
11 34 1
23 32 1
4 6 1
1 8 1
4 13 1
4 19 1
5 34 1
6 18 1
4 12 1
12 23 1
17 21 1
4 29 1
24 32 1
2 20 1
1 5 1
0 19 1
12 33 1
6 34 1
1 24 1
14 22 1
6 8 1
6 34 1
5 11 1
5 31 1
28 33 1
8 34 1
1 9 1
2 34 1
4 14 1
19 34 1
5 14 1
