# nb_stops nb_waiting_laps nb_vehicules nb_operations capacity 
20 0 60 60 8
#origin destination load 
3 16 1
0 15 1
6 16 1
1 7 1
0 15 1
6 9 1
5 14 1
6 17 1
0 8 1
2 10 1
2 16 1
4 16 1
1 15 1
12 18 1
11 13 1
8 18 1
8 13 1
8 14 1
9 10 1
14 17 1
2 3 1
3 16 1
1 8 1
0 13 1
7 9 1
5 11 1
7 9 1
2 16 1
0 9 1
5 11 1
13 19 1
5 11 1
1 18 1
2 7 1
4 7 1
0 7 1
0 7 1
5 7 1
9 12 1
6 10 1
9 13 1
0 10 1
0 1 1
6 11 1
4 10 1
7 11 1
12 15 1
2 17 1
1 15 1
6 11 1
0 5 1
7 12 1
5 17 1
6 7 1
2 9 1
13 15 1
11 13 1
12 17 1
6 8 1
2 11 1
