# nb_stops nb_waiting_laps nb_vehicules nb_operations capacity 
36 0 55 55 2
#origin destination load 
16 19 1
2 17 1
8 15 1
11 20 1
0 9 1
11 16 1
20 21 1
15 17 1
1 15 1
3 27 1
16 21 1
3 8 1
18 26 1
3 14 1
0 26 1
13 23 1
15 17 1
2 25 1
13 26 1
25 26 1
2 21 1
17 22 1
6 14 1
7 17 1
8 10 1
11 26 1
9 30 1
14 28 1
0 18 1
6 22 1
18 35 1
15 29 1
14 31 1
4 20 1
8 9 1
10 11 1
7 31 1
1 13 1
21 31 1
11 25 1
16 19 1
9 17 1
26 32 1
17 26 1
3 14 1
12 32 1
2 25 1
16 27 1
0 11 1
0 24 1
0 26 1
31 35 1
29 33 1
13 34 1
2 4 1
